i,  t,X1,X2,X3,X4,X5,
61,                6e-07,                   1,                 0.1,            0.999755,         2.22918e-07,        -9.90927e-09,                  39,                    0
62,              6.1e-07,                   1,                   0,            0.999988,         1.26719e-08,        -9.24569e-09,                  33,                    0
63,              6.2e-07,                   1,                -0.1,            0.999999,         7.94216e-10,        -9.01226e-09,                  29,                    0
64,              6.3e-07,                   1,                -0.2,                   1,         1.40631e-10,        -8.88176e-09,                  25,                    0
65,              6.4e-07,                   1,                -0.3,                   1,         1.12323e-10,        -8.79964e-09,                  23,                    0
66,              6.5e-07,                   1,                -0.4,                   1,         1.19599e-10,        -8.74854e-09,                  21,                    0
67,              6.6e-07,                   1,                -0.5,                   1,         1.29489e-10,        -8.72166e-09,                  19,                    0
68,              6.7e-07,                   1,                -0.6,                   1,         1.40176e-10,        -8.72074e-09,                  18,                    0
69,              6.8e-07,                   1,                -0.7,                   1,         1.53591e-10,        -8.76062e-09,                  17,                    0
70,              6.9e-07,                   1,                -0.8,                   1,          1.7144e-10,        -8.88533e-09,                  16,                    0
71,                7e-07,                   1,                -0.9,                   1,         2.01339e-10,         -9.2154e-09,                  15,                    0
72,              7.1e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.00936e-08,                  14,                    0
73,              7.2e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
74,              7.3e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
75,              7.4e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
76,              7.5e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
77,              7.6e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
78,              7.7e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
79,              7.8e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
80,              7.9e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
81,                8e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
82,              8.1e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
83,              8.2e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
84,              8.3e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
85,              8.4e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
86,              8.5e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
87,              8.6e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
88,              8.7e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
89,              8.8e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
90,              8.9e-07,                   1,                  -1,                   1,         2.59092e-10,        -1.47096e-09,                  14,                    0
