i,  t,X1,X2,X3,X4,X5,
72,              7.1e-07,                   1,                  -1,           -0.104498,                -0.2,            0.199992,                   2,                    0
73,              7.2e-07,                   1,                  -1,           -0.104498,                -0.2,            0.199992,                   2,                    0
74,              7.3e-07,                   1,                  -1,           -0.104499,                -0.2,            0.199992,                   2,                    0
75,              7.4e-07,                   1,                  -1,             -0.1045,                -0.2,            0.199992,                   2,                    0
76,              7.5e-07,                   1,                  -1,             -0.1045,                -0.2,            0.199992,                   2,                    0
77,              7.6e-07,                   1,                  -1,           -0.104501,                -0.2,            0.199992,                   2,                    0
78,              7.7e-07,                   1,                  -1,           -0.104502,                -0.2,            0.199992,                   2,                    0
79,              7.8e-07,                   1,                  -1,           -0.104502,                -0.2,            0.199992,                   2,                    0
80,              7.9e-07,                   1,                  -1,           -0.104503,                -0.2,            0.199992,                   2,                    0
81,                8e-07,                   1,                  -1,           -0.104504,                -0.2,            0.199992,                   2,                    0
82,              8.1e-07,                   1,                  -1,           -0.104504,                -0.2,            0.199992,                   2,                    0
83,              8.2e-07,                   1,                  -1,           -0.104505,                -0.2,            0.199992,                   2,                    0
84,              8.3e-07,                   1,                  -1,           -0.104506,                -0.2,            0.199992,                   2,                    0
85,              8.4e-07,                   1,                  -1,           -0.104507,                -0.2,            0.199992,                   2,                    0
86,              8.5e-07,                   1,                  -1,           -0.104507,                -0.2,            0.199992,                   2,                    0
87,              8.6e-07,                   1,                  -1,           -0.104508,                -0.2,            0.199992,                   2,                    0
88,              8.7e-07,                   1,                  -1,           -0.104509,                -0.2,            0.199992,                   2,                    0
89,              8.8e-07,                   1,                  -1,           -0.104509,                -0.2,            0.199992,                   2,                    0
90,              8.9e-07,                   1,                  -1,            -0.10451,                -0.2,            0.199992,                   2,                    0
91,                9e-07,                   1,                  -1,           -0.104511,                -0.2,            0.199992,                   2,                    0
92,              9.1e-07,                   1,                  -1,           -0.104511,                -0.2,            0.199992,                   2,                    0
93,              9.2e-07,                   1,                  -1,           -0.104512,                -0.2,            0.199992,                   2,                    0
94,              9.3e-07,                   1,                  -1,           -0.104513,                -0.2,            0.199992,                   2,                    0
95,              9.4e-07,                   1,                  -1,           -0.104513,                -0.2,            0.199992,                   2,                    0
96,              9.5e-07,                   1,                  -1,           -0.104514,                -0.2,            0.199992,                   2,                    0
97,              9.6e-07,                   1,                  -1,           -0.104515,                -0.2,            0.199992,                   2,                    0
98,              9.7e-07,                   1,                  -1,           -0.104516,                -0.2,            0.199992,                   2,                    0
99,              9.8e-07,                   1,                  -1,           -0.104516,                -0.2,            0.199992,                   2,                    0
100,              9.9e-07,                   1,                  -1,           -0.104517,                -0.2,            0.199992,                   2,                    0
101,                1e-06,                   1,                  -1,           -0.104518,                -0.2,            0.199992,                   2,                    0
102,             1.01e-06,                   1,                  -1,           -0.104518,                -0.2,            0.199992,                   2,                    0
103,             1.02e-06,                   1,                  -1,           -0.104519,                -0.2,            0.199992,                   2,                    0
104,             1.03e-06,                   1,                  -1,            -0.10452,                -0.2,            0.199992,                   2,                    0
105,             1.04e-06,                   1,                  -1,            -0.10452,                -0.2,            0.199992,                   2,                    0
106,             1.05e-06,                   1,                  -1,           -0.104521,                -0.2,            0.199992,                   2,                    0
107,             1.06e-06,                   1,                  -1,           -0.104522,                -0.2,            0.199992,                   2,                    0
108,             1.07e-06,                   1,                  -1,           -0.104522,                -0.2,            0.199992,                   2,                    0
109,             1.08e-06,                   1,                  -1,           -0.104523,                -0.2,            0.199992,                   2,                    0
110,             1.09e-06,                   1,                  -1,           -0.104524,                -0.2,            0.199992,                   2,                    0
111,              1.1e-06,                   1,                  -1,           -0.104524,                -0.2,            0.199992,                   2,                    0
112,             1.11e-06,                   1,                  -1,           -0.104525,                -0.2,            0.199992,                   2,                    0
113,             1.12e-06,                   1,                -0.9,           -0.525589,               -0.19,            0.189507,                   1,                    0
114,             1.13e-06,                   1,                -0.8,           -0.411309,               -0.18,            0.179607,                   1,                    0
115,             1.14e-06,                   1,                -0.7,           -0.294781,               -0.17,            0.169703,                   1,                    0
116,             1.15e-06,                   1,                -0.6,           -0.174877,               -0.16,            0.159794,                   1,                    0
117,             1.16e-06,                   1,                -0.5,          -0.0488526,               -0.15,            0.149876,                   1,                    0
118,             1.17e-06,                   1,                -0.4,           0.0903641,               -0.14,            0.139943,                   1,                    0
119,             1.18e-06,                   1,                -0.3,            0.260119,               -0.13,            0.129985,                   1,                    0
120,             1.19e-06,                   1,                -0.2,            0.462466,               -0.12,            0.119999,                   1,                    0
121,              1.2e-06,                   1,                -0.1,            0.546093,               -0.11,                0.11,                   1,                    0
122,             1.21e-06,                   1,                   0,            0.596903,                -0.1,                 0.1,                   1,                    0
123,             1.22e-06,                   1,                   0,            0.596903,                -0.1,                 0.1,                   1,                    0
124,             1.23e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
125,             1.24e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
126,             1.25e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
127,             1.26e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
128,             1.27e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
129,             1.28e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
130,             1.29e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
131,              1.3e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
132,             1.31e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
133,             1.32e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
134,             1.33e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
135,             1.34e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
136,             1.35e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
137,             1.36e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
138,             1.37e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
139,             1.38e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
140,             1.39e-06,                   1,                   0,            0.596902,                -0.1,                 0.1,                   1,                    0
141,              1.4e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
142,             1.41e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
143,             1.42e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
144,             1.43e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
145,             1.44e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
146,             1.45e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
147,             1.46e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
148,             1.47e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
149,             1.48e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
150,             1.49e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
151,              1.5e-06,                   1,                   0,            0.596901,                -0.1,                 0.1,                   1,                    0
