Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
48       4.80000000e-07    9.00000000e-01    1.00000000e+00    3.38770856e-09    4.00601928e-12    1.96888206e-12
49       4.90000000e-07    9.00000000e-01    1.00000000e+00    3.38770166e-09    4.00601919e-12    1.96886985e-12
50       5.00000000e-07    9.00000000e-01    1.00000000e+00    3.38769475e-09    4.00601910e-12    1.96885763e-12
51       5.10000000e-07    9.00000000e-01    1.00000000e+00    3.38768785e-09    4.00601901e-12    1.96884541e-12
52       5.10000000e-07    9.00000000e-01    1.00000000e+00    3.38768785e-09    4.00601901e-12    1.96884540e-12
53       5.20000000e-07    9.00000000e-01    9.00000000e-01   -2.37447053e-06    9.12951281e-10   -6.80676102e-09
54       5.30000000e-07    9.00000000e-01    8.00000000e-01    4.30002813e-06    9.02806538e-09   -6.71791027e-09
55       5.40000000e-07    9.00000000e-01    7.00000000e-01    1.76040545e-05    2.50345621e-08   -6.62142438e-09
56       5.40000000e-07    9.00000000e-01    7.00000000e-01    1.76040545e-05    2.50345621e-08   -6.62142438e-09
57       5.50000000e-07    9.00000000e-01    6.00000000e-01    9.48494201e-04    8.89946330e-07   -6.70836191e-09
58       5.60000000e-07    9.00000000e-01    5.00000000e-01    8.06907151e-03    6.30421691e-06   -8.04592775e-09
59       5.70000000e-07    9.00000000e-01    4.00000000e-01    6.38783158e-02    2.74999589e-05   -1.13602569e-08
60       5.80000000e-07    9.00000000e-01    3.00000000e-01    8.45697106e-01    2.11249523e-05   -1.19040346e-08
61       5.90000000e-07    9.00000000e-01    2.00000000e-01    8.94587009e-01    3.24031692e-06   -8.50852031e-09
62       6.00000000e-07    9.00000000e-01    1.00000000e-01    8.99558219e-01    3.22728979e-07   -7.87963582e-09
63       6.10000000e-07    9.00000000e-01   -4.22405166e-15    8.99979971e-01    2.25214400e-08   -8.15543743e-09
64       6.20000000e-07    9.00000000e-01   -1.00000000e-01    8.99993666e-01    8.05554203e-09   -7.93049051e-09
65       6.30000000e-07    9.00000000e-01   -2.00000000e-01    8.99997067e-01    7.90260362e-09   -8.30542986e-09
66       6.40000000e-07    9.00000000e-01   -3.00000000e-01    8.99997526e-01    7.76496468e-09   -8.35577672e-09
67       6.50000000e-07    9.00000000e-01   -4.00000000e-01    8.99996663e-01    7.63420457e-09   -8.26018289e-09
68       6.60000000e-07    9.00000000e-01   -5.00000000e-01    8.99995799e-01    7.50344446e-09   -8.16458907e-09
69       6.70000000e-07    9.00000000e-01   -6.00000000e-01    8.99996010e-01    7.57715230e-09   -8.22515333e-09
70       6.80000000e-07    9.00000000e-01   -7.00000000e-01    8.99996646e-01    7.73195269e-09   -8.34765031e-09
71       6.90000000e-07    9.00000000e-01   -8.00000000e-01    8.99997283e-01    7.88675309e-09   -8.47014730e-09
72       7.00000000e-07    9.00000000e-01   -9.00000000e-01    8.99997919e-01    8.04155348e-09   -8.59264429e-09
73       7.10000000e-07    9.00000000e-01   -1.00000000e+00    8.99998556e-01    8.19635387e-09   -8.71514127e-09
74       7.10000000e-07    9.00000000e-01   -1.00000000e+00    8.99998556e-01    8.19635387e-09   -8.71514127e-09
75       7.20000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83313464e-10   -4.00133147e-11
76       7.30000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507240e-11
77       7.40000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507226e-11
78       7.50000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250322e-10   -3.99507212e-11
79       7.60000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250323e-10   -3.99507216e-11
80       7.70000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507223e-11
81       7.80000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507229e-11
82       7.90000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507236e-11
83       8.00000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507243e-11
84       8.10000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250326e-10   -3.99507239e-11
85       8.20000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507236e-11
86       8.30000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507233e-11
87       8.40000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250325e-10   -3.99507229e-11
88       8.50000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507226e-11
89       8.60000000e-07    9.00000000e-01   -1.00000000e+00    8.99999891e-01    1.83250324e-10   -3.99507223e-11
