Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}       {-I(VGATE)}       {-I(VBULK)}      {-I(VSOURCE)}  
53       9.00000000e-01    4.00000000e-01    6.77714094e-05    1.57648662e-15   -3.47042118e-11   -6.77713747e-05
54       1.00000000e+00    4.00000000e-01    6.97708483e-05   -7.88638025e-15   -4.77141254e-11   -6.97708006e-05
55       0.00000000e+00    5.00000000e-01   -3.80293007e-14    7.60586014e-14  -5.68285352e-141   -3.80293007e-14
56       1.00000000e-01    5.00000000e-01    6.59369905e-05    5.45904341e-14   -3.89922264e-91   -6.59369906e-05
57       2.00000000e-01    5.00000000e-01    9.95734261e-05    4.29304577e-14   -3.07774195e-90   -9.95734262e-05
58       3.00000000e-01    5.00000000e-01    1.12960004e-04    3.79837498e-14   -1.00133259e-89   -1.12960004e-04
59       4.00000000e-01    5.00000000e-01    1.19429439e-04    3.58058084e-14   -2.21784322e-89   -1.19429439e-04
60       5.00000000e-01    5.00000000e-01    1.23791997e-04    3.51638901e-14   -3.90896436e-89   -1.23791997e-04
61       6.00000000e-01    5.00000000e-01    1.27337789e-04    3.46354498e-14   -2.14040701e-12   -1.27337787e-04
62       7.00000000e-01    5.00000000e-01    1.30482631e-04    3.29990289e-14   -7.96485030e-12   -1.30482623e-04
63       8.00000000e-01    5.00000000e-01    1.33395147e-04    3.02281098e-14   -1.64255804e-11   -1.33395130e-04
64       9.00000000e-01    5.00000000e-01    1.36157077e-04    2.60275447e-14   -2.69680120e-11   -1.36157050e-04
65       1.00000000e+00    5.00000000e-01    1.38813558e-04    1.97780008e-14   -3.90045500e-11   -1.38813519e-04
66       0.00000000e+00    6.00000000e-01   -7.59005167e-14    1.51801033e-13  -1.63946080e-140   -7.59005167e-14
67       1.00000000e-01    6.00000000e-01    9.00893337e-05    1.11245053e-13   -3.89921982e-91   -9.00893339e-05
68       2.00000000e-01    6.00000000e-01    1.48319913e-04    8.61110831e-14   -3.07773973e-90   -1.48319913e-04
69       3.00000000e-01    6.00000000e-01    1.78037411e-04    7.33941717e-14   -1.00133197e-89   -1.78037411e-04
70       4.00000000e-01    6.00000000e-01    1.92339494e-04    6.77114303e-14   -2.21784215e-89   -1.92339494e-04
71       5.00000000e-01    6.00000000e-01    2.00485116e-04    6.51338251e-14   -3.90896292e-89   -2.00485116e-04
72       6.00000000e-01    6.00000000e-01    2.06177472e-04    6.43444967e-14   -5.89621242e-89   -2.06177472e-04
73       7.00000000e-01    6.00000000e-01    2.10731652e-04    6.37897891e-14   -2.88683464e-12   -2.10731649e-04
74       8.00000000e-01    6.00000000e-01    2.14670591e-04    6.21838910e-14   -9.90376809e-12   -2.14670581e-04
75       9.00000000e-01    6.00000000e-01    2.18234437e-04    5.94717652e-14   -1.92578092e-11   -2.18234418e-04
76       1.00000000e+00    6.00000000e-01    2.21548122e-04    5.53451239e-14   -3.03097243e-11   -2.21548092e-04
77       0.00000000e+00    7.00000000e-01   -1.45568371e-13    2.91136742e-13  -4.28929523e-140   -1.45568371e-13
78       1.00000000e-01    7.00000000e-01    1.08871260e-04    2.15433911e-13   -3.89921763e-91   -1.08871261e-04
79       2.00000000e-01    7.00000000e-01    1.89388332e-04    1.65443227e-13   -3.07773787e-90   -1.89388332e-04
80       3.00000000e-01    7.00000000e-01    2.38809753e-04    1.36070092e-13   -1.00133139e-89   -2.38809754e-04
81       4.00000000e-01    7.00000000e-01    2.65931197e-04    1.21298469e-13   -2.21784106e-89   -2.65931197e-04
82       5.00000000e-01    7.00000000e-01    2.80990626e-04    1.14269236e-13   -3.90896141e-89   -2.80990626e-04
83       6.00000000e-01    7.00000000e-01    2.90483110e-04    1.10955333e-13   -5.89621069e-89   -2.90483110e-04
84       7.00000000e-01    7.00000000e-01    2.97339866e-04    1.09819795e-13   -7.95241974e-89   -2.97339866e-04
85       8.00000000e-01    7.00000000e-01    3.02815540e-04    1.09128400e-13   -3.58958580e-12   -3.02815536e-04
86       9.00000000e-01    7.00000000e-01    3.07487360e-04    1.07496513e-13   -1.16114515e-11   -3.07487348e-04
87       1.00000000e+00    7.00000000e-01    3.11647682e-04    1.04818877e-13   -2.16441177e-11   -3.11647660e-04
88       0.00000000e+00    8.00000000e-01   -2.74276793e-13    5.48553586e-13  -1.05701932e-139   -2.74276793e-13
89       1.00000000e-01    8.00000000e-01    1.23173231e-04    4.06690588e-13   -3.89921596e-91   -1.23173231e-04
90       2.00000000e-01    8.00000000e-01    2.22077234e-04    3.10123162e-13   -3.07773638e-90   -2.22077234e-04
91       3.00000000e-01    8.00000000e-01    2.90768235e-04    2.48456861e-13   -1.00133090e-89   -2.90768235e-04
92       4.00000000e-01    8.00000000e-01    3.33753175e-04    2.13275785e-13   -2.21784006e-89   -3.33753176e-04
93       5.00000000e-01    8.00000000e-01    3.59284140e-04    1.95024866e-13   -3.90895994e-89   -3.59284140e-04
94       6.00000000e-01    8.00000000e-01    3.74981930e-04    1.85795823e-13   -5.89620895e-89   -3.74981930e-04
95       7.00000000e-01    8.00000000e-01    3.85583375e-04    1.81212024e-13   -7.95241796e-89   -3.85583375e-04
96       8.00000000e-01    8.00000000e-01    3.93468359e-04    1.79392658e-13   -9.88831786e-89   -3.93468360e-04
97       9.00000000e-01    8.00000000e-01    3.99798521e-04    1.78358163e-13   -4.20852551e-12   -3.99798517e-04
98       1.00000000e+00    8.00000000e-01    4.05168639e-04    1.76579440e-13   -1.30502676e-11   -4.05168626e-04
99       0.00000000e+00    9.00000000e-01   -5.15006864e-13    1.03001373e-12  -2.51406661e-139   -5.15006864e-13
100      1.00000000e-01    9.00000000e-01    1.34100327e-04    7.61067393e-13   -3.89921468e-91   -1.34100327e-04
101      2.00000000e-01    9.00000000e-01    2.47668342e-04    5.75348962e-13   -3.07773522e-90   -2.47668343e-04
102      3.00000000e-01    9.00000000e-01    3.33492765e-04    4.51892677e-13   -1.00133050e-89   -3.33492765e-04
103      4.00000000e-01    9.00000000e-01    3.92806856e-04    3.75253744e-13   -2.21783919e-89   -3.92806856e-04
104      5.00000000e-01    9.00000000e-01    4.31373721e-04    3.31514496e-13   -3.90895859e-89   -4.31373722e-04
105      6.00000000e-01    9.00000000e-01    4.55927147e-04    3.07811269e-13   -5.89620728e-89   -4.55927147e-04
