Index       V(VI)           V(SUPPLY)          V(OUT)            I(VDD)           I(VINPUT)    
65       1.00000000e+00    5.00000000e-01    1.26993015e-09   -8.79675232e-13   -1.96833535e-12
66       0.00000000e+00    6.00000000e-01    5.99988398e-01   -5.46343870e-09    4.87604689e-13
67       1.00000000e-01    6.00000000e-01    5.99556962e-01   -1.15506287e-07    5.04886246e-13
68       2.00000000e-01    6.00000000e-01    5.72758448e-01   -2.07786705e-06    2.37270249e-13
69       3.00000000e-01    6.00000000e-01    1.87669517e-03   -4.27955039e-07   -4.99996890e-16
70       4.00000000e-01    6.00000000e-01    3.39394177e-05   -1.80134815e-08   -3.07796182e-14
71       5.00000000e-01    6.00000000e-01    8.23762353e-07   -6.63298167e-10   -7.55074535e-14
72       6.00000000e-01    6.00000000e-01    2.37727760e-08   -2.42126710e-11   -1.62230690e-13
73       7.00000000e-01    6.00000000e-01    8.75421695e-10   -8.70586422e-13   -3.13346321e-13
74       8.00000000e-01    6.00000000e-01    2.54259657e-10   -3.05079495e-14   -5.76766536e-13
75       9.00000000e-01    6.00000000e-01    6.13810051e-10   -3.19330866e-13   -1.05731817e-12
76       1.00000000e+00    6.00000000e-01    1.57537036e-09   -1.32783538e-12   -1.97115645e-12
77       0.00000000e+00    7.00000000e-01    6.99989031e-01   -6.81018645e-09    3.67270136e-13
78       1.00000000e-01    7.00000000e-01    6.99690129e-01   -1.37247133e-07    4.87071816e-13
79       2.00000000e-01    7.00000000e-01    6.90560632e-01   -2.38379208e-06    4.98158137e-13
80       3.00000000e-01    7.00000000e-01    2.97049395e-02   -5.65254727e-06    1.31015604e-13
81       4.00000000e-01    7.00000000e-01    8.66519318e-04   -4.58833178e-07   -1.75383439e-14
82       5.00000000e-01    7.00000000e-01    2.47174196e-05   -1.99029738e-08   -6.86247117e-14
83       6.00000000e-01    7.00000000e-01    7.30423113e-07   -7.46517657e-10   -1.49237949e-13
84       7.00000000e-01    7.00000000e-01    2.35026595e-08   -2.77224323e-11   -3.00359262e-13
85       8.00000000e-01    7.00000000e-01    1.02014304e-09   -1.04005917e-12   -5.70273537e-13
86       9.00000000e-01    7.00000000e-01    7.19722909e-10   -4.66889748e-13   -1.05843567e-12
87       1.00000000e+00    7.00000000e-01    1.89140517e-09   -1.79135862e-12   -1.97425713e-12
88       0.00000000e+00    8.00000000e-01    7.99989105e-01   -8.43071547e-09    2.67092727e-13
89       1.00000000e-01    8.00000000e-01    7.99736870e-01   -1.62162716e-07    3.66737606e-13
90       2.00000000e-01    8.00000000e-01    7.93888198e-01   -2.67492725e-06    4.87581318e-13
91       3.00000000e-01    8.00000000e-01    6.64918921e-01   -1.90469046e-05    4.22134062e-13
92       4.00000000e-01    8.00000000e-01    1.14807286e-02   -5.89617079e-06    1.16019555e-13
93       5.00000000e-01    8.00000000e-01    6.10207287e-04   -4.90911268e-07   -5.46525275e-14
94       6.00000000e-01    8.00000000e-01    2.14830566e-05   -2.19580964e-08   -1.42323152e-13
95       7.00000000e-01    8.00000000e-01    7.07398414e-07   -8.38924752e-10   -2.87365784e-13
96       8.00000000e-01    8.00000000e-01    2.44354895e-08   -3.17195460e-11   -5.57286476e-13
97       9.00000000e-01    8.00000000e-01    1.62261187e-09   -1.74082248e-12   -1.05194267e-12
98       1.00000000e+00    8.00000000e-01    2.21572020e-09   -2.26909083e-12   -1.97537463e-12
99       0.00000000e+00    9.00000000e-01    8.99988625e-01   -1.03681710e-08    2.22658624e-13
100      1.00000000e-01    9.00000000e-01    8.99753359e-01   -1.90599689e-07    2.66482190e-13
101      2.00000000e-01    9.00000000e-01    8.95131730e-01   -2.98158732e-06    3.67112724e-13
102      3.00000000e-01    9.00000000e-01    8.45895331e-01   -2.11028600e-05    5.02483720e-13
103      4.00000000e-01    9.00000000e-01    6.36037496e-02   -2.74874504e-05    3.33431872e-13
104      5.00000000e-01    9.00000000e-01    7.68196946e-03   -6.11212052e-06    8.11430626e-14
105      6.00000000e-01    9.00000000e-01    5.13286421e-04   -5.24399637e-07   -1.27551246e-13
106      7.00000000e-01    9.00000000e-01    2.03948497e-05   -2.41905257e-08   -2.80413116e-13
107      8.00000000e-01    9.00000000e-01    7.19028692e-07   -9.41423793e-10   -5.44291931e-13
108      9.00000000e-01    9.00000000e-01    2.66030181e-08   -3.68203125e-11   -1.03895559e-12
109      1.00000000e+00    9.00000000e-01    3.38770846e-09   -4.00601929e-12   -1.96888163e-12
110      0.00000000e+00    1.00000000e+00    9.99987736e-01   -1.26710748e-08    2.37031713e-13
111      1.00000000e-01    1.00000000e+00    9.99755369e-01   -2.22916941e-07    2.21957552e-13
112      2.00000000e-01    1.00000000e+00    9.95702983e-01   -3.30775720e-06    2.65367080e-13
113      3.00000000e-01    1.00000000e+00    9.61463896e-01   -2.24440292e-05    3.81453073e-13
114      4.00000000e-01    1.00000000e+00    5.97918773e-01   -6.15156871e-05    4.97981439e-13
115      5.00000000e-01    1.00000000e+00    3.73947213e-02   -2.82676427e-05    2.99392690e-13
116      6.00000000e-01    1.00000000e+00    6.22498973e-03   -6.32560814e-06    1.08761965e-14
117      7.00000000e-01    1.00000000e+00    4.71719634e-04   -5.59363035e-07   -2.64735652e-13
118      8.00000000e-01    1.00000000e+00    2.03202509e-05   -2.66124454e-08   -5.37291654e-13
119      9.00000000e-01    1.00000000e+00    7.52333591e-07   -1.05558487e-09   -1.02595933e-12
120      1.00000000e+00    1.00000000e+00    3.05795658e-08   -4.41676691e-11   -1.95589448e-12
End of Xyce(TM) Simulation
