Index       TIME             V(VDD)            V(VIN)           V(VOUT1)          V(VOUT2)          V(VOUT3)          V(VOUT4)          V(VOUT5)          V(VOUT6)          V(VOUT7)          V(VOUT8)          V(VOUT9)          V(VOUT10)         V(VOUT11)         V(VOUT12)         {-I(VDD)}       {-I(VINPUT)}   
19       1.90000000e-07    1.00000000e+00    1.00000000e+00    3.07414179e-08    9.99987734e-01    3.07528205e-08    9.99987734e-01    3.07510903e-08    9.99987734e-01    3.07510658e-08    9.99987734e-01    3.07510533e-08    9.99987734e-01    3.07510521e-08    9.99987736e-01    7.63013854e-08    1.95618988e-12
20       2.00000000e-07    1.00000000e+00    1.00000000e+00    3.07411712e-08    9.99987734e-01    3.07524909e-08    9.99987734e-01    3.07510852e-08    9.99987734e-01    3.07510653e-08    9.99987734e-01    3.07510551e-08    9.99987734e-01    3.07510542e-08    9.99987736e-01    7.63013844e-08    1.95613447e-12
21       2.10000000e-07    1.00000000e+00    1.00000000e+00    3.07408367e-08    9.99987734e-01    3.07520441e-08    9.99987734e-01    3.07510783e-08    9.99987734e-01    3.07510646e-08    9.99987734e-01    3.07510576e-08    9.99987734e-01    3.07510570e-08    9.99987736e-01    7.63013832e-08    1.95605937e-12
22       2.20000000e-07    1.00000000e+00    1.00000000e+00    3.07405023e-08    9.99987734e-01    3.07515973e-08    9.99987734e-01    3.07510713e-08    9.99987734e-01    3.07510639e-08    9.99987734e-01    3.07510601e-08    9.99987734e-01    3.07510598e-08    9.99987736e-01    7.63013819e-08    1.95598426e-12
23       2.30000000e-07    1.00000000e+00    1.00000000e+00    3.07401679e-08    9.99987734e-01    3.07511505e-08    9.99987734e-01    3.07510644e-08    9.99987734e-01    3.07510632e-08    9.99987734e-01    3.07510626e-08    9.99987734e-01    3.07510626e-08    9.99987736e-01    7.63013806e-08    1.95590916e-12
24       2.40000000e-07    1.00000000e+00    1.00000000e+00    3.07398334e-08    9.99987734e-01    3.07507037e-08    9.99987734e-01    3.07510575e-08    9.99987734e-01    3.07510625e-08    9.99987734e-01    3.07510651e-08    9.99987734e-01    3.07510654e-08    9.99987736e-01    7.63013794e-08    1.95583405e-12
25       2.50000000e-07    1.00000000e+00    1.00000000e+00    3.07394990e-08    9.99987734e-01    3.07502569e-08    9.99987734e-01    3.07510505e-08    9.99987734e-01    3.07510618e-08    9.99987734e-01    3.07510676e-08    9.99987734e-01    3.07510682e-08    9.99987736e-01    7.63013781e-08    1.95575895e-12
26       2.60000000e-07    1.00000000e+00    1.00000000e+00    3.07391645e-08    9.99987734e-01    3.07498101e-08    9.99987734e-01    3.07510436e-08    9.99987734e-01    3.07510611e-08    9.99987734e-01    3.07510701e-08    9.99987734e-01    3.07510710e-08    9.99987736e-01    7.63013768e-08    1.95568385e-12
27       2.70000000e-07    1.00000000e+00    1.00000000e+00    3.07388301e-08    9.99987734e-01    3.07493633e-08    9.99987734e-01    3.07510366e-08    9.99987734e-01    3.07510604e-08    9.99987734e-01    3.07510726e-08    9.99987734e-01    3.07510738e-08    9.99987736e-01    7.63013756e-08    1.95560874e-12
28       2.80000000e-07    1.00000000e+00    1.00000000e+00    3.07388563e-08    9.99987734e-01    3.07493984e-08    9.99987734e-01    3.07510372e-08    9.99987734e-01    3.07510605e-08    9.99987734e-01    3.07510724e-08    9.99987734e-01    3.07510736e-08    9.99987736e-01    7.63013757e-08    1.95561463e-12
29       2.90000000e-07    1.00000000e+00    1.00000000e+00    3.07390395e-08    9.99987734e-01    3.07496431e-08    9.99987734e-01    3.07510410e-08    9.99987734e-01    3.07510608e-08    9.99987734e-01    3.07510711e-08    9.99987734e-01    3.07510721e-08    9.99987736e-01    7.63013764e-08    1.95565577e-12
30       3.00000000e-07    1.00000000e+00    1.00000000e+00    3.07392226e-08    9.99987734e-01    3.07498878e-08    9.99987734e-01    3.07510448e-08    9.99987734e-01    3.07510612e-08    9.99987734e-01    3.07510697e-08    9.99987734e-01    3.07510705e-08    9.99987736e-01    7.63013771e-08    1.95569690e-12
31       3.10000000e-07    1.00000000e+00    1.00000000e+00    3.07394058e-08    9.99987734e-01    3.07501325e-08    9.99987734e-01    3.07510486e-08    9.99987734e-01    3.07510616e-08    9.99987734e-01    3.07510683e-08    9.99987734e-01    3.07510690e-08    9.99987736e-01    7.63013777e-08    1.95573803e-12
32       3.20000000e-07    1.00000000e+00    1.00000000e+00    3.07395890e-08    9.99987734e-01    3.07503771e-08    9.99987734e-01    3.07510524e-08    9.99987734e-01    3.07510620e-08    9.99987734e-01    3.07510669e-08    9.99987734e-01    3.07510674e-08    9.99987736e-01    7.63013784e-08    1.95577917e-12
33       3.30000000e-07    1.00000000e+00    1.00000000e+00    3.07397721e-08    9.99987734e-01    3.07506218e-08    9.99987734e-01    3.07510563e-08    9.99987734e-01    3.07510623e-08    9.99987734e-01    3.07510656e-08    9.99987734e-01    3.07510659e-08    9.99987736e-01    7.63013791e-08    1.95582030e-12
34       3.40000000e-07    1.00000000e+00    1.00000000e+00    3.07399553e-08    9.99987734e-01    3.07508665e-08    9.99987734e-01    3.07510601e-08    9.99987734e-01    3.07510627e-08    9.99987734e-01    3.07510642e-08    9.99987734e-01    3.07510643e-08    9.99987736e-01    7.63013798e-08    1.95586143e-12
35       3.50000000e-07    1.00000000e+00    1.00000000e+00    3.07401385e-08    9.99987734e-01    3.07511112e-08    9.99987734e-01    3.07510639e-08    9.99987734e-01    3.07510631e-08    9.99987734e-01    3.07510628e-08    9.99987734e-01    3.07510628e-08    9.99987736e-01    7.63013805e-08    1.95590257e-12
36       3.60000000e-07    1.00000000e+00    1.00000000e+00    3.07403216e-08    9.99987734e-01    3.07513559e-08    9.99987734e-01    3.07510677e-08    9.99987734e-01    3.07510634e-08    9.99987734e-01    3.07510615e-08    9.99987734e-01    3.07510612e-08    9.99987736e-01    7.63013812e-08    1.95594370e-12
37       3.70000000e-07    1.00000000e+00    1.00000000e+00    3.07405048e-08    9.99987734e-01    3.07516006e-08    9.99987734e-01    3.07510715e-08    9.99987734e-01    3.07510638e-08    9.99987734e-01    3.07510601e-08    9.99987734e-01    3.07510597e-08    9.99987736e-01    7.63013819e-08    1.95598484e-12
38       3.80000000e-07    1.00000000e+00    1.00000000e+00    3.07406880e-08    9.99987734e-01    3.07518453e-08    9.99987734e-01    3.07510753e-08    9.99987734e-01    3.07510642e-08    9.99987734e-01    3.07510587e-08    9.99987734e-01    3.07510581e-08    9.99987736e-01    7.63013826e-08    1.95602597e-12
39       3.90000000e-07    1.00000000e+00    1.00000000e+00    3.07408711e-08    9.99987734e-01    3.07520900e-08    9.99987734e-01    3.07510791e-08    9.99987734e-01    3.07510645e-08    9.99987734e-01    3.07510574e-08    9.99987734e-01    3.07510566e-08    9.99987736e-01    7.63013833e-08    1.95606710e-12
40       4.00000000e-07    1.00000000e+00    1.00000000e+00    3.07410543e-08    9.99987734e-01    3.07523347e-08    9.99987734e-01    3.07510829e-08    9.99987734e-01    3.07510649e-08    9.99987734e-01    3.07510560e-08    9.99987734e-01    3.07510550e-08    9.99987736e-01    7.63013840e-08    1.95610824e-12
41       4.10000000e-07    1.00000000e+00    1.00000000e+00    3.07412375e-08    9.99987734e-01    3.07525794e-08    9.99987734e-01    3.07510868e-08    9.99987734e-01    3.07510653e-08    9.99987734e-01    3.07510546e-08    9.99987734e-01    3.07510535e-08    9.99987736e-01    7.63013847e-08    1.95614937e-12
42       4.20000000e-07    1.00000000e+00    1.00000000e+00    3.07414206e-08    9.99987734e-01    3.07528240e-08    9.99987734e-01    3.07510906e-08    9.99987734e-01    3.07510657e-08    9.99987734e-01    3.07510533e-08    9.99987734e-01    3.07510520e-08    9.99987736e-01    7.63013854e-08    1.95619050e-12
43       4.30000000e-07    1.00000000e+00    1.00000000e+00    3.07412561e-08    9.99987734e-01    3.07526042e-08    9.99987734e-01    3.07510871e-08    9.99987734e-01    3.07510653e-08    9.99987734e-01    3.07510545e-08    9.99987734e-01    3.07510534e-08    9.99987736e-01    7.63013848e-08    1.95615354e-12
44       4.40000000e-07    1.00000000e+00    1.00000000e+00    3.07409402e-08    9.99987734e-01    3.07521821e-08    9.99987734e-01    3.07510806e-08    9.99987734e-01    3.07510647e-08    9.99987734e-01    3.07510568e-08    9.99987734e-01    3.07510560e-08    9.99987736e-01    7.63013836e-08    1.95608260e-12
45       4.50000000e-07    1.00000000e+00    1.00000000e+00    3.07406243e-08    9.99987734e-01    3.07517601e-08    9.99987734e-01    3.07510740e-08    9.99987734e-01    3.07510641e-08    9.99987734e-01    3.07510592e-08    9.99987734e-01    3.07510587e-08    9.99987736e-01    7.63013824e-08    1.95601166e-12
46       4.60000000e-07    1.00000000e+00    1.00000000e+00    3.07403084e-08    9.99987734e-01    3.07513381e-08    9.99987734e-01    3.07510674e-08    9.99987734e-01    3.07510635e-08    9.99987734e-01    3.07510615e-08    9.99987734e-01    3.07510614e-08    9.99987736e-01    7.63013812e-08    1.95594072e-12
47       4.70000000e-07    1.00000000e+00    1.00000000e+00    3.07399925e-08    9.99987734e-01    3.07509161e-08    9.99987734e-01    3.07510608e-08    9.99987734e-01    3.07510629e-08    9.99987734e-01    3.07510639e-08    9.99987734e-01    3.07510641e-08    9.99987736e-01    7.63013800e-08    1.95586977e-12
48       4.80000000e-07    1.00000000e+00    1.00000000e+00    3.07396766e-08    9.99987734e-01    3.07504940e-08    9.99987734e-01    3.07510542e-08    9.99987734e-01    3.07510622e-08    9.99987734e-01    3.07510662e-08    9.99987734e-01    3.07510668e-08    9.99987736e-01    7.63013788e-08    1.95579883e-12
