Index       TIME            V(SUPPLY)           V(VI)            V(VOUT)          {-I(VDD)}       {-I(VINPUT)}   
48       4.80000000e-07    1.00000000e+00    1.00000000e+00    3.05794572e-08    4.41676671e-11    1.95570356e-12
49       4.90000000e-07    1.00000000e+00    1.00000000e+00    3.05800053e-08    4.41676774e-11    1.95666742e-12
50       5.00000000e-07    1.00000000e+00    1.00000000e+00    3.05805534e-08    4.41676878e-11    1.95763128e-12
51       5.10000000e-07    1.00000000e+00    1.00000000e+00    3.05811015e-08    4.41676981e-11    1.95859514e-12
52       5.10000000e-07    1.00000000e+00    1.00000000e+00    3.05811015e-08    4.41676981e-11    1.95859513e-12
53       5.20000000e-07    1.00000000e+00    9.00000000e-01   -9.02588352e-07    2.92897521e-09   -6.80774750e-09
54       5.30000000e-07    1.00000000e+00    8.00000000e-01    1.57242497e-04    1.90876670e-07   -6.77218172e-09
55       5.40000000e-07    1.00000000e+00    7.00000000e-01    4.68873118e-04    5.60297603e-07   -6.77942550e-09
56       5.40000000e-07    1.00000000e+00    7.00000000e-01    4.68873118e-04    5.60297603e-07   -6.77942550e-09
57       5.50000000e-07    1.00000000e+00    6.00000000e-01    6.41464352e-03    6.47776765e-06   -7.94188905e-09
58       5.60000000e-07    1.00000000e+00    5.00000000e-01    3.78878930e-02    2.84027209e-05   -1.01777959e-08
59       5.70000000e-07    1.00000000e+00    4.00000000e-01    5.96871523e-01    6.15254700e-05   -3.65039286e-08
60       5.80000000e-07    1.00000000e+00    3.00000000e-01    9.60683065e-01    2.26364269e-05   -1.11412430e-08
61       5.90000000e-07    1.00000000e+00    2.00000000e-01    9.95516623e-01    3.42722241e-06   -8.68831716e-09
62       6.00000000e-07    1.00000000e+00    1.00000000e-01    9.99718558e-01    2.53977911e-07   -8.19805209e-09
63       6.10000000e-07    1.00000000e+00   -4.09394740e-15    9.99986608e-01    1.99802478e-08   -7.90859342e-09
64       6.20000000e-07    1.00000000e+00   -1.00000000e-01    9.99993099e-01    8.56938017e-09   -8.36094153e-09
65       6.30000000e-07    1.00000000e+00   -2.00000000e-01    9.99996350e-01    7.96403993e-09   -8.21979659e-09
66       6.40000000e-07    1.00000000e+00   -3.00000000e-01    9.99998958e-01    7.47457661e-09   -8.12029515e-09
67       6.50000000e-07    1.00000000e+00   -4.00000000e-01    9.99997934e-01    7.63968702e-09   -8.25603242e-09
68       6.60000000e-07    1.00000000e+00   -5.00000000e-01    9.99996911e-01    7.80479743e-09   -8.39176968e-09
69       6.70000000e-07    1.00000000e+00   -6.00000000e-01    9.99995887e-01    7.96990785e-09   -8.52750695e-09
70       6.80000000e-07    1.00000000e+00   -7.00000000e-01    9.99995621e-01    8.04720367e-09   -8.59088733e-09
71       6.90000000e-07    1.00000000e+00   -8.00000000e-01    9.99996810e-01    7.95550602e-09   -8.51502157e-09
72       7.00000000e-07    1.00000000e+00   -9.00000000e-01    9.99997999e-01    7.86380837e-09   -8.43915581e-09
73       7.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99999188e-01    7.77211072e-09   -8.36329005e-09
74       7.10000000e-07    1.00000000e+00   -1.00000000e+00    9.99999188e-01    7.77211072e-09   -8.36329005e-09
75       7.20000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58650863e-10   -8.88384675e-11
76       7.30000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58626397e-10   -8.88142138e-11
77       7.40000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072995e-11
78       7.50000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072992e-11
79       7.60000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
80       7.70000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619421e-10   -8.88072988e-11
81       7.80000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072990e-11
82       7.90000000e-07    1.00000000e+00   -1.00000000e+00    9.99999852e-01    2.58619422e-10   -8.88072992e-11
